中曆紀日	西曆紀日	正朔組	舊年號	新年號
0808-12C-11	0589-01-03	正朔一	祯明三年	祯明二年
0808-12C-11	0589-01-03	正朔二	開皇九年	開皇八年
0808-12C-12	0589-01-04	正朔一	祯明三年	祯明二年
0808-12C-12	0589-01-04	正朔二	開皇九年	開皇八年
0808-12C-13	0589-01-05	正朔一	祯明三年	祯明二年
0808-12C-13	0589-01-05	正朔二	開皇九年	開皇八年
0808-12C-14	0589-01-06	正朔一	祯明三年	祯明二年
0808-12C-14	0589-01-06	正朔二	開皇九年	開皇八年
0808-12C-15	0589-01-07	正朔一	祯明三年	祯明二年
0808-12C-15	0589-01-07	正朔二	開皇九年	開皇八年
0808-12C-16	0589-01-08	正朔一	祯明三年	祯明二年
0808-12C-16	0589-01-08	正朔二	開皇九年	開皇八年
0808-12C-17	0589-01-09	正朔一	祯明三年	祯明二年
0808-12C-17	0589-01-09	正朔二	開皇九年	開皇八年
0808-12C-18	0589-01-10	正朔一	祯明三年	祯明二年
0808-12C-18	0589-01-10	正朔二	開皇九年	開皇八年
0808-12C-19	0589-01-11	正朔一	祯明三年	祯明二年
0808-12C-19	0589-01-11	正朔二	開皇九年	開皇八年
0808-12C-20	0589-01-12	正朔一	祯明三年	祯明二年
0808-12C-20	0589-01-12	正朔二	開皇九年	開皇八年
0808-12C-21	0589-01-13	正朔一	祯明三年	祯明二年
0808-12C-21	0589-01-13	正朔二	開皇九年	開皇八年
0808-12C-22	0589-01-14	正朔一	祯明三年	祯明二年
0808-12C-22	0589-01-14	正朔二	開皇九年	開皇八年
0808-12C-23	0589-01-15	正朔一	祯明三年	祯明二年
0808-12C-23	0589-01-15	正朔二	開皇九年	開皇八年
0808-12C-24	0589-01-16	正朔一	祯明三年	祯明二年
0808-12C-24	0589-01-16	正朔二	開皇九年	開皇八年
0808-12C-25	0589-01-17	正朔一	祯明三年	祯明二年
0808-12C-25	0589-01-17	正朔二	開皇九年	開皇八年
0808-12C-26	0589-01-18	正朔一	祯明三年	祯明二年
0808-12C-26	0589-01-18	正朔二	開皇九年	開皇八年
0808-12C-27	0589-01-19	正朔一	祯明三年	祯明二年
0808-12C-27	0589-01-19	正朔二	開皇九年	開皇八年
0808-12C-28	0589-01-20	正朔一	祯明三年	祯明二年
0808-12C-28	0589-01-20	正朔二	開皇九年	開皇八年
0808-12C-29	0589-01-21	正朔一	祯明三年	祯明二年
0808-12C-29	0589-01-21	正朔二	開皇九年	開皇八年
0809-11C-20	0590-01-01	正朔二	開皇十年	開皇九年
0809-11C-21	0590-01-02	正朔二	開皇十年	開皇九年
0809-11C-22	0590-01-03	正朔二	開皇十年	開皇九年
0809-11C-23	0590-01-04	正朔二	開皇十年	開皇九年
0809-11C-24	0590-01-05	正朔二	開皇十年	開皇九年
0809-11C-25	0590-01-06	正朔二	開皇十年	開皇九年
0809-11C-26	0590-01-07	正朔二	開皇十年	開皇九年
0809-11C-27	0590-01-08	正朔二	開皇十年	開皇九年
0809-11C-28	0590-01-09	正朔二	開皇十年	開皇九年
0809-11C-29	0590-01-10	正朔二	開皇十年	開皇九年
0809-11C-30	0590-01-11	正朔二	開皇十年	開皇九年
0809-12C-01	0590-01-12	正朔二	開皇十年	開皇九年
0809-12C-02	0590-01-13	正朔二	開皇十年	開皇九年
0809-12C-03	0590-01-14	正朔二	開皇十年	開皇九年
0809-12C-04	0590-01-15	正朔二	開皇十年	開皇九年
0809-12C-05	0590-01-16	正朔二	開皇十年	開皇九年
0809-12C-06	0590-01-17	正朔二	開皇十年	開皇九年
0809-12C-07	0590-01-18	正朔二	開皇十年	開皇九年
0809-12C-08	0590-01-19	正朔二	開皇十年	開皇九年
0809-12C-09	0590-01-20	正朔二	開皇十年	開皇九年
0809-12C-10	0590-01-21	正朔二	開皇十年	開皇九年
0809-12C-11	0590-01-22	正朔二	開皇十年	開皇九年
0809-12C-12	0590-01-23	正朔二	開皇十年	開皇九年
0809-12C-13	0590-01-24	正朔二	開皇十年	開皇九年
0809-12C-14	0590-01-25	正朔二	開皇十年	開皇九年
0809-12C-15	0590-01-26	正朔二	開皇十年	開皇九年
0809-12C-16	0590-01-27	正朔二	開皇十年	開皇九年
0809-12C-17	0590-01-28	正朔二	開皇十年	開皇九年
0809-12C-18	0590-01-29	正朔二	開皇十年	開皇九年
0809-12C-19	0590-01-30	正朔二	開皇十年	開皇九年
0809-12C-20	0590-01-31	正朔二	開皇十年	開皇九年
0809-12C-21	0590-02-01	正朔二	開皇十年	開皇九年
0809-12C-22	0590-02-02	正朔二	開皇十年	開皇九年
0809-12C-23	0590-02-03	正朔二	開皇十年	開皇九年
0809-12C-24	0590-02-04	正朔二	開皇十年	開皇九年
0809-12C-25	0590-02-05	正朔二	開皇十年	開皇九年
0809-12C-26	0590-02-06	正朔二	開皇十年	開皇九年
0809-12C-27	0590-02-07	正朔二	開皇十年	開皇九年
0809-12C-28	0590-02-08	正朔二	開皇十年	開皇九年
0809-12C-29	0590-02-09	正朔二	開皇十年	開皇九年
0810-12C-01	0591-01-01	正朔二	開皇十一年	開皇十年
0810-12C-02	0591-01-02	正朔二	開皇十一年	開皇十年
0810-12C-03	0591-01-03	正朔二	開皇十一年	開皇十年
0810-12C-04	0591-01-04	正朔二	開皇十一年	開皇十年
0810-12C-05	0591-01-05	正朔二	開皇十一年	開皇十年
0810-12C-06	0591-01-06	正朔二	開皇十一年	開皇十年
0810-12C-07	0591-01-07	正朔二	開皇十一年	開皇十年
0810-12C-08	0591-01-08	正朔二	開皇十一年	開皇十年
0810-12C-09	0591-01-09	正朔二	開皇十一年	開皇十年
0810-12C-10	0591-01-10	正朔二	開皇十一年	開皇十年
0810-12C-11	0591-01-11	正朔二	開皇十一年	開皇十年
0810-12C-12	0591-01-12	正朔二	開皇十一年	開皇十年
0810-12C-13	0591-01-13	正朔二	開皇十一年	開皇十年
0810-12C-14	0591-01-14	正朔二	開皇十一年	開皇十年
0810-12C-15	0591-01-15	正朔二	開皇十一年	開皇十年
0810-12C-16	0591-01-16	正朔二	開皇十一年	開皇十年
0810-12C-17	0591-01-17	正朔二	開皇十一年	開皇十年
0810-12C-18	0591-01-18	正朔二	開皇十一年	開皇十年
0810-12C-19	0591-01-19	正朔二	開皇十一年	開皇十年
0810-12C-20	0591-01-20	正朔二	開皇十一年	開皇十年
0810-12C-21	0591-01-21	正朔二	開皇十一年	開皇十年
0810-12C-22	0591-01-22	正朔二	開皇十一年	開皇十年
0810-12C-23	0591-01-23	正朔二	開皇十一年	開皇十年
0810-12C-24	0591-01-24	正朔二	開皇十一年	開皇十年
0810-12C-25	0591-01-25	正朔二	開皇十一年	開皇十年
0810-12C-26	0591-01-26	正朔二	開皇十一年	開皇十年
0810-12C-27	0591-01-27	正朔二	開皇十一年	開皇十年
0810-12C-28	0591-01-28	正朔二	開皇十一年	開皇十年
0810-12C-29	0591-01-29	正朔二	開皇十一年	開皇十年
0810-12C-30	0591-01-30	正朔二	開皇十一年	開皇十年
0811-12C-12	0592-01-01	正朔二	開皇十二年	開皇十一年
