中曆紀日	西曆紀日	正朔組	舊年號	新年號
0857-12C-26	0638-01-16	正朔一	贞观十二年	贞观十一年
0857-12C-27	0638-01-17	正朔一	贞观十二年	贞观十一年
0857-12C-28	0638-01-18	正朔一	贞观十二年	贞观十一年
0857-12C-29	0638-01-19	正朔一	贞观十二年	贞观十一年
0857-12C-30	0638-01-20	正朔一	贞观十二年	贞观十一年
0858-11C-22	0639-01-01	正朔一	贞观十三年	贞观十二年
0858-11C-23	0639-01-02	正朔一	贞观十三年	贞观十二年
0858-11C-24	0639-01-03	正朔一	贞观十三年	贞观十二年
0858-11C-25	0639-01-04	正朔一	贞观十三年	贞观十二年
0858-11C-26	0639-01-05	正朔一	贞观十三年	贞观十二年
0858-11C-27	0639-01-06	正朔一	贞观十三年	贞观十二年
0858-11C-28	0639-01-07	正朔一	贞观十三年	贞观十二年
0858-11C-29	0639-01-08	正朔一	贞观十三年	贞观十二年
0858-11C-30	0639-01-09	正朔一	贞观十三年	贞观十二年
0858-12C-01	0639-01-10	正朔一	贞观十三年	贞观十二年
0858-12C-02	0639-01-11	正朔一	贞观十三年	贞观十二年
0858-12C-03	0639-01-12	正朔一	贞观十三年	贞观十二年
0858-12C-04	0639-01-13	正朔一	贞观十三年	贞观十二年
0858-12C-05	0639-01-14	正朔一	贞观十三年	贞观十二年
0858-12C-06	0639-01-15	正朔一	贞观十三年	贞观十二年
0858-12C-07	0639-01-16	正朔一	贞观十三年	贞观十二年
0858-12C-08	0639-01-17	正朔一	贞观十三年	贞观十二年
0858-12C-09	0639-01-18	正朔一	贞观十三年	贞观十二年
0858-12C-10	0639-01-19	正朔一	贞观十三年	贞观十二年
0858-12C-11	0639-01-20	正朔一	贞观十三年	贞观十二年
0858-12C-12	0639-01-21	正朔一	贞观十三年	贞观十二年
0858-12C-13	0639-01-22	正朔一	贞观十三年	贞观十二年
0858-12C-14	0639-01-23	正朔一	贞观十三年	贞观十二年
0858-12C-15	0639-01-24	正朔一	贞观十三年	贞观十二年
0858-12C-16	0639-01-25	正朔一	贞观十三年	贞观十二年
0858-12C-17	0639-01-26	正朔一	贞观十三年	贞观十二年
0858-12C-18	0639-01-27	正朔一	贞观十三年	贞观十二年
0858-12C-19	0639-01-28	正朔一	贞观十三年	贞观十二年
0858-12C-20	0639-01-29	正朔一	贞观十三年	贞观十二年
0858-12C-21	0639-01-30	正朔一	贞观十三年	贞观十二年
0858-12C-22	0639-01-31	正朔一	贞观十三年	贞观十二年
0858-12C-23	0639-02-01	正朔一	贞观十三年	贞观十二年
0858-12C-24	0639-02-02	正朔一	贞观十三年	贞观十二年
0858-12C-25	0639-02-03	正朔一	贞观十三年	贞观十二年
0858-12C-26	0639-02-04	正朔一	贞观十三年	贞观十二年
0858-12C-27	0639-02-05	正朔一	贞观十三年	贞观十二年
0858-12C-28	0639-02-06	正朔一	贞观十三年	贞观十二年
0858-12C-29	0639-02-07	正朔一	贞观十三年	贞观十二年
0858-12C-30	0639-02-08	正朔一	贞观十三年	贞观十二年
0859-12C-03	0640-01-01	正朔一	贞观十四年	贞观十三年
0859-12C-04	0640-01-02	正朔一	贞观十四年	贞观十三年
0859-12C-05	0640-01-03	正朔一	贞观十四年	贞观十三年
0859-12C-06	0640-01-04	正朔一	贞观十四年	贞观十三年
0859-12C-07	0640-01-05	正朔一	贞观十四年	贞观十三年
0859-12C-08	0640-01-06	正朔一	贞观十四年	贞观十三年
0859-12C-09	0640-01-07	正朔一	贞观十四年	贞观十三年
0859-12C-10	0640-01-08	正朔一	贞观十四年	贞观十三年
0859-12C-11	0640-01-09	正朔一	贞观十四年	贞观十三年
0859-12C-12	0640-01-10	正朔一	贞观十四年	贞观十三年
0859-12C-13	0640-01-11	正朔一	贞观十四年	贞观十三年
0859-12C-14	0640-01-12	正朔一	贞观十四年	贞观十三年
0859-12C-15	0640-01-13	正朔一	贞观十四年	贞观十三年
0859-12C-16	0640-01-14	正朔一	贞观十四年	贞观十三年
0859-12C-17	0640-01-15	正朔一	贞观十四年	贞观十三年
0859-12C-18	0640-01-16	正朔一	贞观十四年	贞观十三年
0859-12C-19	0640-01-17	正朔一	贞观十四年	贞观十三年
0859-12C-20	0640-01-18	正朔一	贞观十四年	贞观十三年
0859-12C-21	0640-01-19	正朔一	贞观十四年	贞观十三年
0859-12C-22	0640-01-20	正朔一	贞观十四年	贞观十三年
0859-12C-23	0640-01-21	正朔一	贞观十四年	贞观十三年
0859-12C-24	0640-01-22	正朔一	贞观十四年	贞观十三年
0859-12C-25	0640-01-23	正朔一	贞观十四年	贞观十三年
0859-12C-26	0640-01-24	正朔一	贞观十四年	贞观十三年
0859-12C-27	0640-01-25	正朔一	贞观十四年	贞观十三年
0859-12C-28	0640-01-26	正朔一	贞观十四年	贞观十三年
0859-12C-29	0640-01-27	正朔一	贞观十四年	贞观十三年
0859-12C-30	0640-01-28	正朔一	贞观十四年	贞观十三年
0860-11C-14	0641-01-01	正朔一	贞观十五年	贞观十四年
0860-11C-15	0641-01-02	正朔一	贞观十五年	贞观十四年
0860-11C-16	0641-01-03	正朔一	贞观十五年	贞观十四年
0860-11C-17	0641-01-04	正朔一	贞观十五年	贞观十四年
0860-11C-18	0641-01-05	正朔一	贞观十五年	贞观十四年
0860-11C-19	0641-01-06	正朔一	贞观十五年	贞观十四年
0860-11C-20	0641-01-07	正朔一	贞观十五年	贞观十四年
0860-11C-21	0641-01-08	正朔一	贞观十五年	贞观十四年
0860-11C-22	0641-01-09	正朔一	贞观十五年	贞观十四年
0860-11C-23	0641-01-10	正朔一	贞观十五年	贞观十四年
0860-11C-24	0641-01-11	正朔一	贞观十五年	贞观十四年
0860-11C-25	0641-01-12	正朔一	贞观十五年	贞观十四年
0860-11C-26	0641-01-13	正朔一	贞观十五年	贞观十四年
0860-11C-27	0641-01-14	正朔一	贞观十五年	贞观十四年
0860-11C-28	0641-01-15	正朔一	贞观十五年	贞观十四年
0860-11C-29	0641-01-16	正朔一	贞观十五年	贞观十四年
0860-12C-01	0641-01-17	正朔一	贞观十五年	贞观十四年
0860-12C-02	0641-01-18	正朔一	贞观十五年	贞观十四年
0860-12C-03	0641-01-19	正朔一	贞观十五年	贞观十四年
0860-12C-04	0641-01-20	正朔一	贞观十五年	贞观十四年
0860-12C-05	0641-01-21	正朔一	贞观十五年	贞观十四年
0860-12C-06	0641-01-22	正朔一	贞观十五年	贞观十四年
0860-12C-07	0641-01-23	正朔一	贞观十五年	贞观十四年
0860-12C-08	0641-01-24	正朔一	贞观十五年	贞观十四年
0860-12C-09	0641-01-25	正朔一	贞观十五年	贞观十四年
0860-12C-10	0641-01-26	正朔一	贞观十五年	贞观十四年
0860-12C-11	0641-01-27	正朔一	贞观十五年	贞观十四年
0860-12C-12	0641-01-28	正朔一	贞观十五年	贞观十四年
0860-12C-13	0641-01-29	正朔一	贞观十五年	贞观十四年
0860-12C-14	0641-01-30	正朔一	贞观十五年	贞观十四年
0860-12C-15	0641-01-31	正朔一	贞观十五年	贞观十四年
0860-12C-16	0641-02-01	正朔一	贞观十五年	贞观十四年
0860-12C-17	0641-02-02	正朔一	贞观十五年	贞观十四年
0860-12C-18	0641-02-03	正朔一	贞观十五年	贞观十四年
0860-12C-19	0641-02-04	正朔一	贞观十五年	贞观十四年
0860-12C-20	0641-02-05	正朔一	贞观十五年	贞观十四年
0860-12C-21	0641-02-06	正朔一	贞观十五年	贞观十四年
0860-12C-22	0641-02-07	正朔一	贞观十五年	贞观十四年
0860-12C-23	0641-02-08	正朔一	贞观十五年	贞观十四年
0860-12C-24	0641-02-09	正朔一	贞观十五年	贞观十四年
0860-12C-25	0641-02-10	正朔一	贞观十五年	贞观十四年
0860-12C-26	0641-02-11	正朔一	贞观十五年	贞观十四年
0860-12C-27	0641-02-12	正朔一	贞观十五年	贞观十四年
0860-12C-28	0641-02-13	正朔一	贞观十五年	贞观十四年
0860-12C-29	0641-02-14	正朔一	贞观十五年	贞观十四年
0860-12C-30	0641-02-15	正朔一	贞观十五年	贞观十四年
0861-11C-25	0642-01-01	正朔一	贞观十六年	贞观十五年
0861-11C-26	0642-01-02	正朔一	贞观十六年	贞观十五年
0861-11C-27	0642-01-03	正朔一	贞观十六年	贞观十五年
0861-11C-28	0642-01-04	正朔一	贞观十六年	贞观十五年
0861-11C-29	0642-01-05	正朔一	贞观十六年	贞观十五年
0861-11C-30	0642-01-06	正朔一	贞观十六年	贞观十五年
0861-12C-01	0642-01-07	正朔一	贞观十六年	贞观十五年
0861-12C-02	0642-01-08	正朔一	贞观十六年	贞观十五年
0861-12C-03	0642-01-09	正朔一	贞观十六年	贞观十五年
0861-12C-04	0642-01-10	正朔一	贞观十六年	贞观十五年
0861-12C-05	0642-01-11	正朔一	贞观十六年	贞观十五年
0861-12C-06	0642-01-12	正朔一	贞观十六年	贞观十五年
0861-12C-07	0642-01-13	正朔一	贞观十六年	贞观十五年
0861-12C-08	0642-01-14	正朔一	贞观十六年	贞观十五年
0861-12C-09	0642-01-15	正朔一	贞观十六年	贞观十五年
0861-12C-10	0642-01-16	正朔一	贞观十六年	贞观十五年
0861-12C-11	0642-01-17	正朔一	贞观十六年	贞观十五年
0861-12C-12	0642-01-18	正朔一	贞观十六年	贞观十五年
0861-12C-13	0642-01-19	正朔一	贞观十六年	贞观十五年
0861-12C-14	0642-01-20	正朔一	贞观十六年	贞观十五年
0861-12C-15	0642-01-21	正朔一	贞观十六年	贞观十五年
0861-12C-16	0642-01-22	正朔一	贞观十六年	贞观十五年
0861-12C-17	0642-01-23	正朔一	贞观十六年	贞观十五年
0861-12C-18	0642-01-24	正朔一	贞观十六年	贞观十五年
0861-12C-19	0642-01-25	正朔一	贞观十六年	贞观十五年
0861-12C-20	0642-01-26	正朔一	贞观十六年	贞观十五年
0861-12C-21	0642-01-27	正朔一	贞观十六年	贞观十五年
0861-12C-22	0642-01-28	正朔一	贞观十六年	贞观十五年
0861-12C-23	0642-01-29	正朔一	贞观十六年	贞观十五年
0861-12C-24	0642-01-30	正朔一	贞观十六年	贞观十五年
0861-12C-25	0642-01-31	正朔一	贞观十六年	贞观十五年
0861-12C-26	0642-02-01	正朔一	贞观十六年	贞观十五年
0861-12C-27	0642-02-02	正朔一	贞观十六年	贞观十五年
0861-12C-28	0642-02-03	正朔一	贞观十六年	贞观十五年
0861-12C-29	0642-02-04	正朔一	贞观十六年	贞观十五年
0862-12C-06	0643-01-01	正朔一	贞观十七年	贞观十六年
0862-12C-07	0643-01-02	正朔一	贞观十七年	贞观十六年
0862-12C-08	0643-01-03	正朔一	贞观十七年	贞观十六年
0862-12C-09	0643-01-04	正朔一	贞观十七年	贞观十六年
0862-12C-10	0643-01-05	正朔一	贞观十七年	贞观十六年
0862-12C-11	0643-01-06	正朔一	贞观十七年	贞观十六年
0862-12C-12	0643-01-07	正朔一	贞观十七年	贞观十六年
0862-12C-13	0643-01-08	正朔一	贞观十七年	贞观十六年
0862-12C-14	0643-01-09	正朔一	贞观十七年	贞观十六年
0862-12C-15	0643-01-10	正朔一	贞观十七年	贞观十六年
0862-12C-16	0643-01-11	正朔一	贞观十七年	贞观十六年
0862-12C-17	0643-01-12	正朔一	贞观十七年	贞观十六年
0862-12C-18	0643-01-13	正朔一	贞观十七年	贞观十六年
0862-12C-19	0643-01-14	正朔一	贞观十七年	贞观十六年
0862-12C-20	0643-01-15	正朔一	贞观十七年	贞观十六年
0862-12C-21	0643-01-16	正朔一	贞观十七年	贞观十六年
0862-12C-22	0643-01-17	正朔一	贞观十七年	贞观十六年
0862-12C-23	0643-01-18	正朔一	贞观十七年	贞观十六年
0862-12C-24	0643-01-19	正朔一	贞观十七年	贞观十六年
0862-12C-25	0643-01-20	正朔一	贞观十七年	贞观十六年
0862-12C-26	0643-01-21	正朔一	贞观十七年	贞观十六年
0862-12C-27	0643-01-22	正朔一	贞观十七年	贞观十六年
0862-12C-28	0643-01-23	正朔一	贞观十七年	贞观十六年
0862-12C-29	0643-01-24	正朔一	贞观十七年	贞观十六年
0862-12C-30	0643-01-25	正朔一	贞观十七年	贞观十六年
0863-11C-16	0644-01-01	正朔一	贞观十八年	贞观十七年
0863-11C-17	0644-01-02	正朔一	贞观十八年	贞观十七年
0863-11C-18	0644-01-03	正朔一	贞观十八年	贞观十七年
0863-11C-19	0644-01-04	正朔一	贞观十八年	贞观十七年
0863-11C-20	0644-01-05	正朔一	贞观十八年	贞观十七年
0863-11C-21	0644-01-06	正朔一	贞观十八年	贞观十七年
0863-11C-22	0644-01-07	正朔一	贞观十八年	贞观十七年
0863-11C-23	0644-01-08	正朔一	贞观十八年	贞观十七年
0863-11C-24	0644-01-09	正朔一	贞观十八年	贞观十七年
0863-11C-25	0644-01-10	正朔一	贞观十八年	贞观十七年
0863-11C-26	0644-01-11	正朔一	贞观十八年	贞观十七年
0863-11C-27	0644-01-12	正朔一	贞观十八年	贞观十七年
0863-11C-28	0644-01-13	正朔一	贞观十八年	贞观十七年
0863-11C-29	0644-01-14	正朔一	贞观十八年	贞观十七年
0863-11C-30	0644-01-15	正朔一	贞观十八年	贞观十七年
0863-12C-01	0644-01-16	正朔一	贞观十八年	贞观十七年
0863-12C-02	0644-01-17	正朔一	贞观十八年	贞观十七年
0863-12C-03	0644-01-18	正朔一	贞观十八年	贞观十七年
0863-12C-04	0644-01-19	正朔一	贞观十八年	贞观十七年
0863-12C-05	0644-01-20	正朔一	贞观十八年	贞观十七年
0863-12C-06	0644-01-21	正朔一	贞观十八年	贞观十七年
0863-12C-07	0644-01-22	正朔一	贞观十八年	贞观十七年
0863-12C-08	0644-01-23	正朔一	贞观十八年	贞观十七年
0863-12C-09	0644-01-24	正朔一	贞观十八年	贞观十七年
0863-12C-10	0644-01-25	正朔一	贞观十八年	贞观十七年
0863-12C-11	0644-01-26	正朔一	贞观十八年	贞观十七年
0863-12C-12	0644-01-27	正朔一	贞观十八年	贞观十七年
0863-12C-13	0644-01-28	正朔一	贞观十八年	贞观十七年
0863-12C-14	0644-01-29	正朔一	贞观十八年	贞观十七年
0863-12C-15	0644-01-30	正朔一	贞观十八年	贞观十七年
0863-12C-16	0644-01-31	正朔一	贞观十八年	贞观十七年
0863-12C-17	0644-02-01	正朔一	贞观十八年	贞观十七年
0863-12C-18	0644-02-02	正朔一	贞观十八年	贞观十七年
0863-12C-19	0644-02-03	正朔一	贞观十八年	贞观十七年
0863-12C-20	0644-02-04	正朔一	贞观十八年	贞观十七年
0863-12C-21	0644-02-05	正朔一	贞观十八年	贞观十七年
0863-12C-22	0644-02-06	正朔一	贞观十八年	贞观十七年
0863-12C-23	0644-02-07	正朔一	贞观十八年	贞观十七年
0863-12C-24	0644-02-08	正朔一	贞观十八年	贞观十七年
0863-12C-25	0644-02-09	正朔一	贞观十八年	贞观十七年
0863-12C-26	0644-02-10	正朔一	贞观十八年	贞观十七年
0863-12C-27	0644-02-11	正朔一	贞观十八年	贞观十七年
0863-12C-28	0644-02-12	正朔一	贞观十八年	贞观十七年
0863-12C-29	0644-02-13	正朔一	贞观十八年	贞观十七年
0864-11C-28	0645-01-01	正朔一	贞观十九年	贞观十八年
0864-11C-29	0645-01-02	正朔一	贞观十九年	贞观十八年
0864-11C-30	0645-01-03	正朔一	贞观十九年	贞观十八年
0864-12C-01	0645-01-04	正朔一	贞观十九年	贞观十八年
0864-12C-02	0645-01-05	正朔一	贞观十九年	贞观十八年
0864-12C-03	0645-01-06	正朔一	贞观十九年	贞观十八年
0864-12C-04	0645-01-07	正朔一	贞观十九年	贞观十八年
0864-12C-05	0645-01-08	正朔一	贞观十九年	贞观十八年
0864-12C-06	0645-01-09	正朔一	贞观十九年	贞观十八年
0864-12C-07	0645-01-10	正朔一	贞观十九年	贞观十八年
0864-12C-08	0645-01-11	正朔一	贞观十九年	贞观十八年
0864-12C-09	0645-01-12	正朔一	贞观十九年	贞观十八年
0864-12C-10	0645-01-13	正朔一	贞观十九年	贞观十八年
0864-12C-11	0645-01-14	正朔一	贞观十九年	贞观十八年
0864-12C-12	0645-01-15	正朔一	贞观十九年	贞观十八年
0864-12C-13	0645-01-16	正朔一	贞观十九年	贞观十八年
0864-12C-14	0645-01-17	正朔一	贞观十九年	贞观十八年
0864-12C-15	0645-01-18	正朔一	贞观十九年	贞观十八年
0864-12C-16	0645-01-19	正朔一	贞观十九年	贞观十八年
0864-12C-17	0645-01-20	正朔一	贞观十九年	贞观十八年
0864-12C-18	0645-01-21	正朔一	贞观十九年	贞观十八年
0864-12C-19	0645-01-22	正朔一	贞观十九年	贞观十八年
0864-12C-20	0645-01-23	正朔一	贞观十九年	贞观十八年
0864-12C-21	0645-01-24	正朔一	贞观十九年	贞观十八年
0864-12C-22	0645-01-25	正朔一	贞观十九年	贞观十八年
0864-12C-23	0645-01-26	正朔一	贞观十九年	贞观十八年
0864-12C-24	0645-01-27	正朔一	贞观十九年	贞观十八年
0864-12C-25	0645-01-28	正朔一	贞观十九年	贞观十八年
0864-12C-26	0645-01-29	正朔一	贞观十九年	贞观十八年
0864-12C-27	0645-01-30	正朔一	贞观十九年	贞观十八年
0864-12C-28	0645-01-31	正朔一	贞观十九年	贞观十八年
0864-12C-29	0645-02-01	正朔一	贞观十九年	贞观十八年
0865-12C-09	0646-01-01	正朔一	贞观二十年	贞观十九年
0865-12C-10	0646-01-02	正朔一	贞观二十年	贞观十九年
0865-12C-11	0646-01-03	正朔一	贞观二十年	贞观十九年
0865-12C-12	0646-01-04	正朔一	贞观二十年	贞观十九年
0865-12C-13	0646-01-05	正朔一	贞观二十年	贞观十九年
0865-12C-14	0646-01-06	正朔一	贞观二十年	贞观十九年
0865-12C-15	0646-01-07	正朔一	贞观二十年	贞观十九年
0865-12C-16	0646-01-08	正朔一	贞观二十年	贞观十九年
0865-12C-17	0646-01-09	正朔一	贞观二十年	贞观十九年
0865-12C-18	0646-01-10	正朔一	贞观二十年	贞观十九年
0865-12C-19	0646-01-11	正朔一	贞观二十年	贞观十九年
0865-12C-20	0646-01-12	正朔一	贞观二十年	贞观十九年
0865-12C-21	0646-01-13	正朔一	贞观二十年	贞观十九年
0865-12C-22	0646-01-14	正朔一	贞观二十年	贞观十九年
0865-12C-23	0646-01-15	正朔一	贞观二十年	贞观十九年
0865-12C-24	0646-01-16	正朔一	贞观二十年	贞观十九年
0865-12C-25	0646-01-17	正朔一	贞观二十年	贞观十九年
0865-12C-26	0646-01-18	正朔一	贞观二十年	贞观十九年
0865-12C-27	0646-01-19	正朔一	贞观二十年	贞观十九年
0865-12C-28	0646-01-20	正朔一	贞观二十年	贞观十九年
0865-12C-29	0646-01-21	正朔一	贞观二十年	贞观十九年
0866-11C-20	0647-01-01	正朔一	贞观二十一年	贞观二十年
0866-11C-21	0647-01-02	正朔一	贞观二十一年	贞观二十年
0866-11C-22	0647-01-03	正朔一	贞观二十一年	贞观二十年
0866-11C-23	0647-01-04	正朔一	贞观二十一年	贞观二十年
0866-11C-24	0647-01-05	正朔一	贞观二十一年	贞观二十年
0866-11C-25	0647-01-06	正朔一	贞观二十一年	贞观二十年
0866-11C-26	0647-01-07	正朔一	贞观二十一年	贞观二十年
0866-11C-27	0647-01-08	正朔一	贞观二十一年	贞观二十年
0866-11C-28	0647-01-09	正朔一	贞观二十一年	贞观二十年
0866-11C-29	0647-01-10	正朔一	贞观二十一年	贞观二十年
0866-11C-30	0647-01-11	正朔一	贞观二十一年	贞观二十年
0866-12C-01	0647-01-12	正朔一	贞观二十一年	贞观二十年
0866-12C-02	0647-01-13	正朔一	贞观二十一年	贞观二十年
0866-12C-03	0647-01-14	正朔一	贞观二十一年	贞观二十年
0866-12C-04	0647-01-15	正朔一	贞观二十一年	贞观二十年
0866-12C-05	0647-01-16	正朔一	贞观二十一年	贞观二十年
0866-12C-06	0647-01-17	正朔一	贞观二十一年	贞观二十年
0866-12C-07	0647-01-18	正朔一	贞观二十一年	贞观二十年
0866-12C-08	0647-01-19	正朔一	贞观二十一年	贞观二十年
0866-12C-09	0647-01-20	正朔一	贞观二十一年	贞观二十年
0866-12C-10	0647-01-21	正朔一	贞观二十一年	贞观二十年
0866-12C-11	0647-01-22	正朔一	贞观二十一年	贞观二十年
0866-12C-12	0647-01-23	正朔一	贞观二十一年	贞观二十年
0866-12C-13	0647-01-24	正朔一	贞观二十一年	贞观二十年
0866-12C-14	0647-01-25	正朔一	贞观二十一年	贞观二十年
0866-12C-15	0647-01-26	正朔一	贞观二十一年	贞观二十年
0866-12C-16	0647-01-27	正朔一	贞观二十一年	贞观二十年
0866-12C-17	0647-01-28	正朔一	贞观二十一年	贞观二十年
0866-12C-18	0647-01-29	正朔一	贞观二十一年	贞观二十年
0866-12C-19	0647-01-30	正朔一	贞观二十一年	贞观二十年
0866-12C-20	0647-01-31	正朔一	贞观二十一年	贞观二十年
0866-12C-21	0647-02-01	正朔一	贞观二十一年	贞观二十年
0866-12C-22	0647-02-02	正朔一	贞观二十一年	贞观二十年
0866-12C-23	0647-02-03	正朔一	贞观二十一年	贞观二十年
0866-12C-24	0647-02-04	正朔一	贞观二十一年	贞观二十年
0866-12C-25	0647-02-05	正朔一	贞观二十一年	贞观二十年
0866-12C-26	0647-02-06	正朔一	贞观二十一年	贞观二十年
0866-12C-27	0647-02-07	正朔一	贞观二十一年	贞观二十年
0866-12C-28	0647-02-08	正朔一	贞观二十一年	贞观二十年
0866-12C-29	0647-02-09	正朔一	贞观二十一年	贞观二十年
0867-12C-01	0648-01-01	正朔一	贞观二十二年	贞观二十一年
0867-12C-02	0648-01-02	正朔一	贞观二十二年	贞观二十一年
0867-12C-03	0648-01-03	正朔一	贞观二十二年	贞观二十一年
0867-12C-04	0648-01-04	正朔一	贞观二十二年	贞观二十一年
0867-12C-05	0648-01-05	正朔一	贞观二十二年	贞观二十一年
0867-12C-06	0648-01-06	正朔一	贞观二十二年	贞观二十一年
0867-12C-07	0648-01-07	正朔一	贞观二十二年	贞观二十一年
0867-12C-08	0648-01-08	正朔一	贞观二十二年	贞观二十一年
0867-12C-09	0648-01-09	正朔一	贞观二十二年	贞观二十一年
0867-12C-10	0648-01-10	正朔一	贞观二十二年	贞观二十一年
0867-12C-11	0648-01-11	正朔一	贞观二十二年	贞观二十一年
0867-12C-12	0648-01-12	正朔一	贞观二十二年	贞观二十一年
0867-12C-13	0648-01-13	正朔一	贞观二十二年	贞观二十一年
0867-12C-14	0648-01-14	正朔一	贞观二十二年	贞观二十一年
0867-12C-15	0648-01-15	正朔一	贞观二十二年	贞观二十一年
0867-12C-16	0648-01-16	正朔一	贞观二十二年	贞观二十一年
0867-12C-17	0648-01-17	正朔一	贞观二十二年	贞观二十一年
0867-12C-18	0648-01-18	正朔一	贞观二十二年	贞观二十一年
0867-12C-19	0648-01-19	正朔一	贞观二十二年	贞观二十一年
0867-12C-20	0648-01-20	正朔一	贞观二十二年	贞观二十一年
0867-12C-21	0648-01-21	正朔一	贞观二十二年	贞观二十一年
0867-12C-22	0648-01-22	正朔一	贞观二十二年	贞观二十一年
0867-12C-23	0648-01-23	正朔一	贞观二十二年	贞观二十一年
0867-12C-24	0648-01-24	正朔一	贞观二十二年	贞观二十一年
0867-12C-25	0648-01-25	正朔一	贞观二十二年	贞观二十一年
0867-12C-26	0648-01-26	正朔一	贞观二十二年	贞观二十一年
0867-12C-27	0648-01-27	正朔一	贞观二十二年	贞观二十一年
0867-12C-28	0648-01-28	正朔一	贞观二十二年	贞观二十一年
0867-12C-29	0648-01-29	正朔一	贞观二十二年	贞观二十一年
0868-12C-13	0649-01-01	正朔一	贞观二十三年	贞观二十二年
0868-12C-14	0649-01-02	正朔一	贞观二十三年	贞观二十二年
0868-12C-15	0649-01-03	正朔一	贞观二十三年	贞观二十二年
0868-12C-16	0649-01-04	正朔一	贞观二十三年	贞观二十二年
0868-12C-17	0649-01-05	正朔一	贞观二十三年	贞观二十二年
0868-12C-18	0649-01-06	正朔一	贞观二十三年	贞观二十二年
0868-12C-19	0649-01-07	正朔一	贞观二十三年	贞观二十二年
0868-12C-20	0649-01-08	正朔一	贞观二十三年	贞观二十二年
0868-12C-21	0649-01-09	正朔一	贞观二十三年	贞观二十二年
0868-12C-22	0649-01-10	正朔一	贞观二十三年	贞观二十二年
0868-12C-23	0649-01-11	正朔一	贞观二十三年	贞观二十二年
0868-12C-24	0649-01-12	正朔一	贞观二十三年	贞观二十二年
0868-12C-25	0649-01-13	正朔一	贞观二十三年	贞观二十二年
0868-12C-26	0649-01-14	正朔一	贞观二十三年	贞观二十二年
0868-12C-27	0649-01-15	正朔一	贞观二十三年	贞观二十二年
0868-12C-28	0649-01-16	正朔一	贞观二十三年	贞观二十二年
0868-12C-29	0649-01-17	正朔一	贞观二十三年	贞观二十二年
0868-12C-30	0649-01-18	正朔一	贞观二十三年	贞观二十二年
0868-12L-01	0649-01-19	正朔一	贞观二十三年	贞观二十二年
0868-12L-02	0649-01-20	正朔一	贞观二十三年	贞观二十二年
0868-12L-03	0649-01-21	正朔一	贞观二十三年	贞观二十二年
0868-12L-04	0649-01-22	正朔一	贞观二十三年	贞观二十二年
0868-12L-05	0649-01-23	正朔一	贞观二十三年	贞观二十二年
0868-12L-06	0649-01-24	正朔一	贞观二十三年	贞观二十二年
0868-12L-07	0649-01-25	正朔一	贞观二十三年	贞观二十二年
0868-12L-08	0649-01-26	正朔一	贞观二十三年	贞观二十二年
0868-12L-09	0649-01-27	正朔一	贞观二十三年	贞观二十二年
0868-12L-10	0649-01-28	正朔一	贞观二十三年	贞观二十二年
0868-12L-11	0649-01-29	正朔一	贞观二十三年	贞观二十二年
0868-12L-12	0649-01-30	正朔一	贞观二十三年	贞观二十二年
0868-12L-13	0649-01-31	正朔一	贞观二十三年	贞观二十二年
0868-12L-14	0649-02-01	正朔一	贞观二十三年	贞观二十二年
0868-12L-15	0649-02-02	正朔一	贞观二十三年	贞观二十二年
0868-12L-16	0649-02-03	正朔一	贞观二十三年	贞观二十二年
0868-12L-17	0649-02-04	正朔一	贞观二十三年	贞观二十二年
0868-12L-18	0649-02-05	正朔一	贞观二十三年	贞观二十二年
0868-12L-19	0649-02-06	正朔一	贞观二十三年	贞观二十二年
0868-12L-20	0649-02-07	正朔一	贞观二十三年	贞观二十二年
0868-12L-21	0649-02-08	正朔一	贞观二十三年	贞观二十二年
0868-12L-22	0649-02-09	正朔一	贞观二十三年	贞观二十二年
0868-12L-23	0649-02-10	正朔一	贞观二十三年	贞观二十二年
0868-12L-24	0649-02-11	正朔一	贞观二十三年	贞观二十二年
0868-12L-25	0649-02-12	正朔一	贞观二十三年	贞观二十二年
0868-12L-26	0649-02-13	正朔一	贞观二十三年	贞观二十二年
0868-12L-27	0649-02-14	正朔一	贞观二十三年	贞观二十二年
0868-12L-28	0649-02-15	正朔一	贞观二十三年	贞观二十二年
0868-12L-29	0649-02-16	正朔一	贞观二十三年	贞观二十二年
0870-12C-04	0651-01-01	正朔一	永徽二年	永徽元年
0870-12C-05	0651-01-02	正朔一	永徽二年	永徽元年
0870-12C-06	0651-01-03	正朔一	永徽二年	永徽元年
0870-12C-07	0651-01-04	正朔一	永徽二年	永徽元年
0870-12C-08	0651-01-05	正朔一	永徽二年	永徽元年
0870-12C-09	0651-01-06	正朔一	永徽二年	永徽元年
0870-12C-10	0651-01-07	正朔一	永徽二年	永徽元年
0870-12C-11	0651-01-08	正朔一	永徽二年	永徽元年
0870-12C-12	0651-01-09	正朔一	永徽二年	永徽元年
0870-12C-13	0651-01-10	正朔一	永徽二年	永徽元年
0870-12C-14	0651-01-11	正朔一	永徽二年	永徽元年
0870-12C-15	0651-01-12	正朔一	永徽二年	永徽元年
0870-12C-16	0651-01-13	正朔一	永徽二年	永徽元年
0870-12C-17	0651-01-14	正朔一	永徽二年	永徽元年
0870-12C-18	0651-01-15	正朔一	永徽二年	永徽元年
